match_id,team_a,team_b,score_a,score_b,event,format,map_played
2395992,HEROIC,The MongolZ,2,1,BLAST Bounty 2026 Season 2,bo3,
2395991,3DMAX,magic,2,1,BLAST Bounty 2026 Season 2,bo3,
2396006,OG,Spirit,2,1,BLAST Bounty 2026 Season 2,bo3,
2395994,Gentle Mates,paiN,2,0,BLAST Bounty 2026 Season 2,bo3,
2395997,SINNERS,FUT,2,1,BLAST Bounty 2026 Season 2,bo3,
2396000,FOKUS,Aurora,2,1,BLAST Bounty 2026 Season 2,bo3,
2395002,FURIA,Falcons,3,0,IEM Cologne Major 2026,bo5,
2395001,Spirit,Falcons,2,1,IEM Cologne Major 2026,bo3,
2395000,Aurora,FURIA,2,0,IEM Cologne Major 2026,bo3,
2394999,Falcons,Vitality,2,1,IEM Cologne Major 2026,bo3,
2394991,Natus Vincere,Falcons,2,1,IEM Cologne Major 2026,bo3,
2394984,PARIVISION,Legacy,2,0,IEM Cologne Major 2026,bo3,
2394983,Vitality,MOUZ,2,1,IEM Cologne Major 2026,bo3,
2394979,Natus Vincere,The MongolZ,2,1,IEM Cologne Major 2026,bo3,
2394977,Aurora,Spirit,2,1,IEM Cologne Major 2026,bo3,
2394976,Natus Vincere,Legacy,2,0,IEM Cologne Major 2026,bo3,
2394971,FURIA,MOUZ,2,1,IEM Cologne Major 2026,bo3,
2394900,Natus Vincere,Spirit,2,0,IEM Cologne Major 2026,bo3,
2394905,MOUZ,Legacy,2,0,IEM Cologne Major 2026,bo3,
2394225,Falcons,MOUZ,2,1,CS Asia Championships 2026,bo3,
2394222,The MongolZ,PARIVISION,2,0,CS Asia Championships 2026,bo3,
2394156,Spirit,Falcons,3,0,PGL Astana 2026,bo5,
2394174,Natus Vincere,Vitality,2,1,IEM Atlanta 2026,bo3,
2394152,FURIA,Falcons,2,1,PGL Astana 2026,bo3,
2394148,The MongolZ,Aurora,2,0,PGL Astana 2026,bo3,
2394142,The MongolZ,Falcons,2,1,PGL Astana 2026,bo3,
2394138,FURIA,Spirit,2,1,PGL Astana 2026,bo3,
2394132,PARIVISION,Aurora,2,0,PGL Astana 2026,bo3,
2394126,The MongolZ,Spirit,2,0,PGL Astana 2026,bo3,
2393350,Natus Vincere,Vitality,3,0,BLAST Rivals 2026 Season 1,bo5,
2393333,FUT,Astralis,2,0,BLAST Rivals 2026 Season 1,bo3,
2393319,Vitality,FUT,2,1,BLAST Rivals 2026 Season 1,bo3,
2393245,Spirit,Vitality,3,0,IEM Rio 2026,bo5,
2393244,Falcons,FURIA,2,0,IEM Rio 2026,bo3,
2393243,FURIA,Vitality,2,0,IEM Rio 2026,bo3,
2393242,Falcons,Spirit,2,0,IEM Rio 2026,bo3,
2393241,Vitality,Natus Vincere,2,0,IEM Rio 2026,bo3,
2393240,Spirit,MOUZ,2,0,IEM Rio 2026,bo3,
2393238,FURIA,MOUZ,2,0,IEM Rio 2026,bo3,
2393239,Natus Vincere,Aurora,2,1,IEM Rio 2026,bo3,
2393236,Vitality,Falcons,2,1,IEM Rio 2026,bo3,
2393230,MOUZ,Aurora,2,0,IEM Rio 2026,bo3,
