rank,team_id,team_name,points
1,11283,Falcons,902
2,9565,Vitality,779
3,8297,FURIA,671
4,7020,Spirit,669
5,4608,Natus Vincere,502
6,9996,9z,370
7,11861,Aurora,364
8,5995,G2,318
9,12394,BetBoom,317
10,12468,Legacy,233
11,4494,MOUZ,229
12,13286,FUT,207
13,11241,B8,187
14,12467,PARIVISION,185
15,6248,The MongolZ,168
16,6667,FaZe,163
17,9928,GamerLegion,159
18,6665,Astralis,146
19,4863,TYLOO,134
20,13592,magic,123
21,7532,BIG,112
22,6290,Luminosity,111
23,9215,MIBR,107
24,4773,paiN,102
25,12474,Alliance,96
26,12376,M80,93
27,4411,Ninjas in Pyjamas,85
28,7175,HEROIC,70
29,8113,Sharks,67
30,12774,FlyQuest,65
31,5973,Liquid,65
32,13117,Inner Circle,65
33,13355,Nemesis,65
34,4914,3DMAX,59
35,8840,Lynn Vision,56
36,11737,EYEBALLERS,49
37,6673,NRG,46
38,12895,K27,44
39,13404,Gentle Mates,37
40,13871,Echo,32
41,5378,Virtus.pro,32
42,13518,Acend,30
43,10577,SINNERS,27
44,13027,Nuclear TigeRES,25
45,11581,HOTU,25
46,13486,THUNDER dOWNUNDER,23
47,9455,Imperial,23
48,13644,TDK,23
49,13617,ex-RUBY,23
50,11837,Fluxo,21
51,10278,9INE,21
52,11712,Sashi,20
53,12510,The Huns,20
54,13808,Walczaki,20
55,13304,LP,19
56,12677,Galorys,19
57,12144,BESTIA,19
58,13679,FOKUS,19
59,4991,fnatic,18
60,8474,100 Thieves,18
61,11641,Metizport,18
62,10823,INFINITE,17
63,11609,GenOne,17
64,13314,KOLESIE,17
65,13173,Phantom,16
66,7187,Nexus,15
67,11312,QUAZAR,15
68,13107,Chicken Coop,15
69,13805,Washed,14
70,13594,CYBERSHOKE Prospects,14
71,13814,INOX Division,14
72,12959,ShindeN,14
73,10621,1win,14
74,10503,OG,14
75,13479,Omega,13
76,8536,Ground Zero,13
77,12257,Wildcard,13
78,13838,EAC,13
79,6089,The Last Resort,13
80,13237,AM,12
81,13054,PCIFIC,12
82,12380,CYBERSHOKE,12
83,10459,ARCRED,12
84,12776,Bounty Hunters,12
85,13124,Marsborne,12
86,11251,Eternal Fire,12
87,13181,BASEMENT BOYS,11
88,11446,Leo,11
89,13333,ASTRAL,11
90,13623,STATE,11
91,13776,Just Players,11
92,13214,SPARTA,11
93,13868,DragonClaw,11
94,12889,G2 Ares,11
95,12194,Rune Eaters,11
96,6810,aimclub,10
97,13499,Voca,10
98,13651,ReThink,10
99,13877,Noir Verse,10
100,12554,regain,10
101,13724,5star,10
102,7969,Nemiga,10
103,8488,INFURITY,10
104,12967,WW,10
105,12363,Arcade,10
106,13375,SportsBetExpert,9
107,13799,PsychoFace,9
108,13619,BET-M,9
109,13681,Inner Circle Academy,9
110,13668,Atreides,9
111,4246,Enjoy,9
112,6033,Keyd Stars,9
113,11955,LAG,9
114,11933,Yawara,9
115,11110,Honvéd,9
116,11248,SAW Youngsters,9
117,10867,MASONIC,9
118,13281,Bushido Wildcats,8
119,13076,GENESIS,8
120,13747,BERG,8
121,13599,benched gods,8
122,12960,Fire Flux,8
123,11011,Patins da Ferrari,8
124,12536,DEPO,8
125,9881,Rooster,8
126,13552,Endless Journey,8
127,13178,NOVAQ,8
128,13763,MASQ,8
129,11795,Villainous,8
130,12988,GameHunters,8
131,12609,Lavked,8
132,13870,Wingman,7
133,13163,ALGO,7
134,13528,Misa,7
135,7120,Entropy,7
136,12366,Aurora Young Blud,7
137,13026,BESTIA Academy,7
138,13673,Omen,7
139,7900,Spirit Academy,7
140,11555,UNO MILLE,7
141,13683,WBT,7
142,13012,HYPERSPIRIT,7
143,11278,Coalesce,7
144,9139,BRUTE,7
145,10254,BIG Academy,7
146,13279,LPH,7
147,13924,Black Phoenix,6
148,10854,los kogutos,6
149,12973,NuTorious,6
150,13914,Privateer,6
151,4869,ENCE,6
152,13759,mellren,6
153,13766,Phantom Academy,6
154,13573,ex-Zero Tenacity,6
155,13865,Arch,6
156,13908,Butterfly,6
157,13889,train launcher,6
158,13714,DONSTU,5
159,13613,Bebop,5
160,3044,MIBR Academy,5
161,13546,Strael Bora,5
162,13571,SINQU,5
163,13756,ALKA,5
164,13855,Overtake Sector,5
165,10975,MIBR fe,5
166,13915,Voracity,5
167,13798,Clutchain,5
168,7653,Isurus,5
169,11768,ODDIK,5
170,11176,MOUZ NXT,5
171,13892,ex-MANA,5
172,7556,Tricksters,5
173,13888,roamsfiest,5
174,13081,Fake do Biru,5
175,13161,eternal premium,5
176,12276,DXA,5
177,13777,PURE,5
178,7865,HAVU,4
179,12267,UNiTY,4
180,13574,Club 333,4
181,13879,Festina Lente,4
182,13857,Iowa Stormboar,4
183,13686,Abyssal,4
184,12642,Rebels,4
185,13732,B8 Academy,4
186,12971,Wanted Goons,4
187,13827,NEW VISION,4
188,13715,Hashiras,3
189,13159,Prestige,3
190,8947,XI,3
191,10679,Red Feet,3
192,10997,Procyon,3
193,11336,DETONATE,3
194,11905,paiN Academy,3
195,13861,Game Point,3
196,13660,Ding Cuts,3
197,13695,CTRL,3
198,13321,Falcons Force,3
199,13902,BORRACHEIROS,3
200,12878,BC.Game,3
201,13788,Clutchain fe,3
202,12087,Lazer Cats,3
203,9735,Lilmix,3
204,10245,JiJieHao,3
205,12769,Fisher College,3
206,13726,METANOIA Wolves,3
207,9422,CarritoSpain,3
208,13725,GUARA,3
209,12457,ROUNDS,3
210,13201,F5,2
211,13907,RUSH,2
212,12190,Shimmer,2
213,13331,Kaleido,2
214,11699,BAKS,2
215,13793,Third Prime,2
216,13610,Beyond Limits,2
217,10864,VP.Prodigy,2
218,13551,OlyBet,2
219,13366,Invicta,2
220,13575,WAZABI,2
221,13803,DNK,1
222,10567,SAW,1
223,13646,Fortress,1
224,10371,NAVI Junior,1
225,13912,Grêmio,1
226,12533,Atrix,1
227,13745,KUUSAMO,1
228,13238,JUMBO,1
229,13563,Diamant,1
230,13860,White Tigers,1
231,12822,Spirit HU,1
232,13657,Blitzkrieg,0
